period;cmd;country;nb_edges;nb_edges_country;traded_value_exp;traded_value_imp;traded_value_exp_country;traded_value_imp_country;contrib_nb_edges;contrib_trade_value_exp;contrib_trade_value_imp
1996;12;Gabon;1739;32;6032543317.0;10214764336.0;66116320.0;464656103.0;0.018401380103507763;0.010959941193241165;0.04548867577516279
1996;12;Gambia;1739;10;6032543317.0;10214764336.0;745.0;558949.0;0.005750431282346176;1.23496833897662e-7;0.00005471971566001677
1996;12;Georgia;1739;2;6032543317.0;10214764336.0;1866897.0;2149637.0;0.0011500862564692352;0.00030947096471549467;0.00021044411102310134
1996;12;Germany;1739;121;6032543317.0;10214764336.0;370823313.0;559555994.0;0.06958021851638872;0.06147047663213655;0.05477913886157422
1996;12;Ghana;1739;29;6032543317.0;10214764336.0;2028811.0;4955781.0;0.01667625071880391;0.0003363110537942947;0.00048515862304667075
1996;12;Greece;1739;38;6032543317.0;10214764336.0;23312392.0;52024053.0;0.02185163887291547;0.003864438392726422;0.00509302528073517
1996;12;Greenland;1739;3;6032543317.0;10214764336.0;381937.0;512453.0;0.0017251293847038527;0.00006331276543405549;0.00005016787300652219
1996;12;Grenada;1739;2;6032543317.0;10214764336.0;149891.0;0.0;0.0011500862564692352;0.00002484706567752276;0.0
1996;12;Guatemala;1739;10;6032543317.0;10214764336.0;900389.0;315669.0;0.005750431282346176;0.0001492552896325933;0.00003090320927791593
1996;12;Guinea;1739;9;6032543317.0;10214764336.0;34294.0;5861088.0;0.005175388154111558;5.684832780787142e-6;0.0005737859246878272
1996;12;Guinea-Bissau;1739;2;6032543317.0;10214764336.0;0.0;2529546.0;0.0011500862564692352;0.0;0.0002476362563828413
1996;12;Guyana;1739;11;6032543317.0;10214764336.0;37651.0;1913185.0;0.0063254744105807935;6.241314487356876e-6;0.00018729604884347084
1996;12;Haiti;1739;3;6032543317.0;10214764336.0;624564.0;12090.0;0.0017251293847038527;0.00010353245176705956;1.183580903319628e-6
1996;12;Honduras;1739;30;6032543317.0;10214764336.0;15213608.0;1528057.0;0.017251293847038527;0.0025219227116243517;0.00014959297637583794
