period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2013;01;primary_value;13109195980.028;19284555868.833;0.08406277227788972;0.2534495470705831;3.062710100422154;2.250926329213014
2014;01;primary_value;13361965589.694;21817614928.992;0.0836104588580456;0.30708354635361607;3.0887626614915096;2.082921948102018
2015;01;primary_value;10319480495.232;16153111392.968;0.0830911404574921;0.2649604998600289;3.1144107994592316;2.23396022284148
2016;01;primary_value;10622234263.588;12697828232.19;0.08756085060060946;0.17996675979353544;3.0455274108673627;2.5324622143450632
2017;01;primary_value;10035045377.039;17134483189.707;0.08667549447769944;0.3449719427797191;3.1037244928801093;1.9511676773304367
2018;01;primary_value;11359981559.031;18481560689.878;0.08234759254271887;0.3610199466248357;3.1053494767026866;1.9482696131509227
2019;01;primary_value;11586760140.146;16263373226.096;0.08269072080069674;0.3443774639680994;3.067647688516213;2.0072731346661037
2020;01;primary_value;10670765323.011;14408661004.25;0.0841059469640324;0.3482502378947681;3.0187156244324194;2.0135928591354206
2021;01;primary_value;13725593125.645;19501872105.134;0.08990323143949788;0.3613473591702708;2.997410782532601;1.979066226473363
2022;01;primary_value;12401753723.881;17365533782.72;0.08013223884605845;0.2557195409018667;3.104876672694277;2.327657909333677
2023;01;primary_value;10088046636.914;13705966658.559;0.08442203358122374;0.2341328395498351;3.0906746766786397;2.381743991642145
1996;05;primary_value;22896585694.0;24719833782.0;0.19287753150422618;0.1357743571357315;2.465190859342778;2.700191230989578
1997;05;primary_value;24084192376.0;26413398624.0;0.18474868281185752;0.13300414731940755;2.4906056867740802;2.7421711539901645
1998;05;primary_value;21442425186.0;22970857904.0;0.1666817915044111;0.12750791362247405;2.618022667818979;2.8438123544645695
1999;05;primary_value;21964408606.0;25385435124.0;0.18918500231679497;0.1360568782326525;2.586836982399781;2.8022121182744213
2000;05;primary_value;23059779754.357;25126047810.3;0.15524052486433415;0.11434763521190013;2.703584594635889;2.926576518520649
2001;05;primary_value;21170463644.827;23212728367.21;0.15374197017088928;0.11796424646766543;2.7327881859600467;2.967330867378671
2002;05;primary_value;21797397617.807;24355467328.0;0.13264466786417023;0.11335567807867826;2.829572473929834;3.0081654436333674
2003;05;primary_value;23557271123.255;26090324323.074;0.10841309139509887;0.09327420200939618;2.9468933968478606;3.115724850440759
2004;05;primary_value;28829465897.288;31468207129.215;0.1250714295491238;0.11492522543013424;2.8755877713449434;3.0431664270781313
2005;05;primary_value;30107464301.758;32616554458.974;0.11409506677352306;0.11186817020716094;2.930219620261942;3.098837704431108
2006;05;primary_value;32315925404.267;33793956661.05;0.09942525682677765;0.0968391187152652;2.9920840355269336;3.169251666524259
2007;05;primary_value;35125954243.818;36899847953.774;0.08115671591371038;0.06573697362527191;3.0857273491802357;3.3984489666093287
2008;05;primary_value;30369083942.687;32074897316.877;0.07176228826793256;0.052119472823495924;3.177861511746214;3.5452545324642064
2009;05;primary_value;23366658717.616;23829641987.171;0.07196890305967821;0.050357178065805225;3.160652120900756;3.534364926612036
2010;05;primary_value;28362643359.396;29283548110.078;0.07560290345323596;0.05686074306324589;3.141865808594222;3.46884972087343
2011;05;primary_value;31029621688.985;32917377903.707;0.07572195180090192;0.06468705450392472;3.139724082633781;3.3928919900523957
2012;05;primary_value;30646281032.442;32129284958.953;0.08008514332827411;0.06639122965673955;3.122128716755894;3.397455578460281
2013;05;primary_value;34719735946.617;35749725527.033;0.08578285325620033;0.07759622181945015;3.085421616033735;3.3046228032021787
2014;05;primary_value;37363818742.862;39699640349.529;0.0833895696743331;0.08117791867514923;3.1170596399121844;3.2869660931179885
2015;05;primary_value;26115495999.055;35609166447.343;0.06030768748934857;0.08572383026613793;3.345174223562655;3.260136206778203
2016;05;primary_value;26971845211.12;36469555830.429;0.06143438772819729;0.09818823119671077;3.310829631636932;3.1755316761671937
2017;05;primary_value;28220635568.207;30165672824.634;0.06301661673596845;0.1316863930494487;3.2759924222751438;3.0430277443880067
2018;05;primary_value;38806575220.133;34067258802.069;0.0830297635741234;0.10759385334724142;3.1080209080952512;3.2141575513117755
2019;05;primary_value;35089548989.294;36101422725.496;0.07665708703629756;0.09983730094514015;3.1501565789617123;3.156279720666447
2020;05;primary_value;36564026199.884;36548056253.916;0.08454725564947105;0.11005194608652813;3.1031082376247796;3.0600088875474962
2021;05;primary_value;55511719086.325;54065397239.347;0.09726570557627115;0.10607522809194263;2.990202363957253;3.0918807736495295
2022;05;primary_value;44417513498.255005;51121636326.647;0.0964528470144418;0.10073396404361118;3.019305038231156;3.1417593032957756
2023;05;primary_value;32524028765.462;36022062125.683;0.07968897137376504;0.0988967629617372;3.138025101434122;3.158524358427393
1996;07;primary_value;14794763103.0;13988371325.0;0.10110105790366788;0.08932238809240406;2.9317880599921935;3.025142651952732
1997;07;primary_value;14781864058.0;14378017027.0;0.09393904975262257;0.08720286923340441;2.9545675970362826;3.0748167756653406
1998;07;primary_value;13443867765.0;13060308098.0;0.07031125422640937;0.0776617123304857;3.137218017177376;3.210147309567382
1999;07;primary_value;14805932703.0;14718594937.0;0.07913165636530059;0.09474229011653132;3.0844979777808024;3.0845911520535663
2000;07;primary_value;14349273776.153;14757562617.007;0.07515024156729636;0.08279714769982646;3.1198966835898068;3.206536817723847
2001;07;primary_value;14087841198.926;14296601557.937;0.07111715819144378;0.07808258002460532;3.1493211277204742;3.2839418412538777
2002;07;primary_value;15749157008.719;15991461911.915;0.06700521511503979;0.0831797725930266;3.173749336020589;3.2551853652754756
2003;07;primary_value;18733098785.239;19317538754.574;0.06816223329154292;0.08970063161723438;3.18641611445146;3.2596713876326264
2004;07;primary_value;24157416346.682;24936732971.434;0.06825428935634113;0.10547609005417617;3.195984185639602;3.2008221094765115
2005;07;primary_value;26028853810.669;25874346007.674;0.06354776739020028;0.1007279505819361;3.233292040482113;3.2752689386821965
2006;07;primary_value;28323994309.618;27837020333.655;0.06160609718551926;0.08186472505303592;3.230537705922573;3.3989883855906506
2007;07;primary_value;26929693801.017;27070936651.721;0.07258687984904687;0.06571603566157434;3.1073407460981617;3.3239501503729056
2008;07;primary_value;27272273760.017002;28091410335.032;0.07083038324592675;0.04595016712431298;3.182369315586357;3.6235214786858996
2009;07;primary_value;21716964991.568;19605081710.938;0.06886574729593496;0.04792783913932047;3.188961142274682;3.681976363898267
2010;07;primary_value;26472350797.565;24282331611.537;0.06618417815852222;0.04635895547372173;3.2329729771019684;3.693740068051091
2011;07;primary_value;30335676842.35;28151787010.461998;0.0702321286789613;0.0431565975525498;3.221194671230889;3.7397272965187263
2012;07;primary_value;30950776425.077;28781779736.86;0.07415016341581945;0.043834669977719;3.2239973029009517;3.764501864377617
2013;07;primary_value;32707696757.621;30510533955.288;0.07224946190410474;0.04567777693753386;3.2237057136719187;3.773309020873564
2014;07;primary_value;34702447367.020996;32022406892.35;0.07619781900865427;0.044694597928226144;3.199470798437842;3.7923040929592173
2015;07;primary_value;29806441447.689;29448114100.106;0.08418456518755554;0.051129890730793465;3.161242295450715;3.748175145063638
2016;07;primary_value;29589052257.637;29552587212.221;0.07884284051344494;0.05508329567048975;3.1998132679130866;3.728172400687113
2017;07;primary_value;33278031121.184002;29824591240.672;0.06573084125325394;0.04407559876613588;3.295148994032369;3.843163786836713
2018;07;primary_value;37156431227.513;34533405084.549;0.06311643759517302;0.049102547879393964;3.3031030921265976;3.783613772039542
2019;07;primary_value;32702941551.759;31671982277.571;0.058362090743047886;0.048429622328935336;3.3616635697741013;3.810991855099651
2020;07;primary_value;32954578204.88;31699942972.895;0.05696962304259246;0.05740507364420194;3.360064974578134;3.7098483338370474
2021;07;primary_value;47455808872.575;45622800241.048;0.059329462973836386;0.07027356332501934;3.332631897001929;3.6245146869446327
2022;07;primary_value;44309320479.185;47250468033.788;0.05919584029654612;0.07173559749566871;3.340400038458501;3.596535853377571
2023;07;primary_value;37290761656.103;36521666403.407;0.058405437952846605;0.051857806224388237;3.362143329261779;3.754212891784423
1996;01;net_wgt;48960904048.0;60232936145.0;0.12934472707572647;0.10639807607815902;2.692685579925431;2.8097572993112876
1997;01;net_wgt;56348844005.0;66455725136.0;0.11687063204016115;0.09447438533987208;2.7458055719488876;2.8454192803572003
1998;01;net_wgt;59582573501.0;64205555607.0;0.11735754246060441;0.08396145759472645;2.8002415832000582;2.896311198655339
1999;01;net_wgt;70317640324.0;74546498931.0;0.14003803830811218;0.07709577209118292;2.6857247084098828;2.9570243669534735
