period;cmd;nb_edge_exp;nb_edge_imp;mean_exp;mean_imp;var_exp;var_imp;skew_exp;skew_imp;kurt_exp;kurt_imp
1999;05;3967;3967;21.443243243243245;19.164251207729468;643.2089408327247;511.20973651660483;1.5510999257805826;1.7228036104872193;2.199074263240602;2.3575695156560332
2000;05;4313;4313;22.7;19.69406392694064;695.1047368421051;527.0525218406623;1.5400018648550986;1.659120968263677;2.34271392313845;2.1894229276479527
2001;05;4530;4530;23.23076923076923;20.779816513761467;731.7364891518737;560.3551889571585;1.4256195610926006;1.5341938214506323;1.5000170061131248;1.680117804468173
2002;05;4570;4570;23.19796954314721;20.67873303167421;723.1943105980571;572.1366065395877;1.4425832114081039;1.533248628507564;1.6784674143459668;1.6456052550233888
2003;05;4739;4739;24.81151832460733;21.443438914027148;782.9801814643238;599.4956696218339;1.350781110025954;1.4917332968782548;1.2743022853847865;1.3708415906587517
2004;05;4974;4974;26.317460317460316;22.60909090909091;840.0579491055681;599.8471900826446;1.2881067700777573;1.3716430838274765;0.9604782188251986;1.015994738013477
2005;05;5092;5092;26.520833333333332;22.83408071748879;864.9370659722223;606.6406322266686;1.3180436363612118;1.36537796039083;1.209443785004236;1.0208172248856355
2006;05;5182;5182;26.849740932642487;23.133928571428573;901.3608419017959;609.8392059948981;1.366281708358404;1.2545719006615776;1.275463130827009;0.650964207518856
2007;05;5247;5247;27.328125;23.424107142857142;962.001708984375;621.5120974170919;1.3892933003848074;1.2610013344620037;1.4549485513380223;0.5991754909694538
2008;05;5373;5373;28.130890052356023;23.986607142857142;992.1451714591158;629.8167849170919;1.373484534469339;1.2342430168028917;1.5390480824526316;0.517785208029677
2009;05;5063;5063;26.369791666666668;22.502222222222223;935.8684624565972;552.9522172839505;1.3968415119393445;1.2567057562514494;1.4302997534388604;0.6908413537561149
2010;05;5123;5123;26.96315789473684;22.870535714285715;964.5091689750693;547.0502032844387;1.3256716059306404;1.2308236025996302;1.0986150169278028;0.6572266253903809
