period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
2007;01;210;64;96;50;82179902644.72598;15676959509.904003;54104149316.31652;11420954501.260996;1695181116.8585002;327364570.2089998;26380572211.551003;3928640438.433999;3399875014.0160003;389081654.4370002;55356291886.07702;11508942884.052004;23423735744.633;3778934971.415002
2008;01;214;60;102;52;83615878155.507;14810716044.32852;55966849880.372986;10889492318.35301;1671725274.423;357739625.58150005;25977303000.710995;3563484100.394;2257605246.1724997;318577714.47099996;58798666295.31351;11161586372.203007;22559606614.020996;3330551957.654498
2009;01;208;63;101;44;53347686228.7735;10210076288.282492;33420916137.533504;7528215619.238505;887003097.8495001;163975754.8645;19039766993.390503;2517884914.179498;846228745.1615;130007488.31449999;32652804000.864506;7736609374.493005;19848653482.747498;2343459425.4750013
2010;01;213;67;98;48;82172412154.7085;13227648650.8485;55604581667.2305;9710126693.797497;1389616029.8070002;281492408.14550006;25178214457.671;3236029548.9055004;1390571489.5549998;176204109.26299986;57179746207.12851;10186357507.829;23602094458.025;2865087033.7564983
2011;01;211;68;94;49;99861076124.44891;15927096065.431501;68234768484.04399;11518309515.655003;2787328366.4405;460739960.5565;28838979273.964485;3948046589.2200007;1919037443.0745008;236039225.78499994;75800474912.39153;12775941715.070002;22141563768.982994;2915115124.5764985
2012;01;210;68;91;51;96948184526.14493;14873816238.039495;67284119486.231514;10985783509.367008;1572743503.699;277331291.6084998;28091321536.214508;3610701437.063999;2295913472.4615006;273062798.3999999;71468653483.68953;11613426522.663002;23183617569.994003;2987326916.976503
2013;01;212;73;97;42;112971184333.53548;17313443362.085506;76136043804.61653;12662594834.063509;2551417260.2545004;414099812.52000016;34283723268.66451;4236748715.502003;2270545505.9895;290515353.475;85981207065.41548;13896415961.869003;24719431762.130497;3126512046.741499
2014;01;213;75;97;41;110330592600.034;19182061330.73248;75764231306.42502;14347985811.283499;2728340966.0245004;430826970.023;31838020327.584496;4403248549.425998;2684628598.2655005;326696836.3210003;82432518006.34547;15492684950.304525;25213445995.423;3362679544.1069994
2015;01;214;71;104;39;103299851080.25142;14110711119.00797;72169630115.62048;10507409617.30149;3323451519.219499;485044484.92599994;27806769445.411507;3118257016.780499;2609373498.1700006;275596987.87400013;72201426716.81099;11317976986.05599;28489050865.270504;2517137145.078001
2016;01;210;68;102;40;106935578795.45041;12123515373.474493;74931659601.41547;8675380066.9035;2755502709.082501;372945750.6274999;29248416484.952496;3075189555.9435005;2304725531.2580004;251619825.148;80806529707.73694;9674209684.162003;23824323556.455498;2197685864.1644998
2017;01;214;74;99;41;101523447996.72696;14661901677.660019;71737690475.24655;11113782301.896994;1602332298.2305005;294700764.98899966;28183425223.249996;3253418610.773998;1942411170.510999;198474156.44100004;66743148871.459015;11523901390.082502;32837887954.756985;2939526131.1364965
2018;01;210;67;95;48;107400487673.61113;16023545541.077509;80481930690.3611;12610731827.216988;2231930489.2535;393392079.1295002;24686626493.996483;3019421634.7309995;3790418641.0819993;458318141.4524999;77322204744.56653;12957867632.22101;26287864287.96248;2607359767.404001
2019;01;207;65;94;48;114463823584.69502;14802475807.33651;76517469180.599;10404385267.281498;3326867114.7725005;486975970.74450046;34619487289.32351;3911114569.310497;2695481099.1750007;311402087.89599997;84299991419.94559;11924487626.741497;27468351065.57453;2566586092.698997
2020;01;200;64;95;41;113014104558.87744;13176024810.652985;79256226929.49448;9384839403.016003;945205264.8619999;135482789.17700008;32812672364.52099;3655702618.459997;3396319265.7550015;362466225.95650035;70707697455.4975;9607336110.977999;38910087837.62502;3206222473.718501
2021;01;204;61;98;45;121782556834.4541;17413269098.577995;76505108359.427;11847762708.222996;1633564667.4370003;273598589.7320001;43643883807.590004;5291907800.622996;2522418589.5030003;362036316.54099977;76473789705.75903;13258124782.862505;42786348539.19201;3793107999.1745048
