period;cmd;nb_edge_exp;nb_edge_imp;mean_exp;mean_imp;var_exp;var_imp;skew_exp;skew_imp;kurt_exp;kurt_imp
2013;05;2772;2772;17.883870967741935;13.791044776119403;575.4961914672218;237.14041731640305;2.508968430815503;2.3562318878752273;7.847437880691437;7.121597416142782
2014;05;2700;2700;16.9811320754717;13.5678391959799;542.9870653850718;237.86348829575016;2.738536479492775;2.442069832236032;9.749592295140266;7.471557834512657
2015;05;2735;2735;17.20125786163522;13.813131313131313;565.5444009335073;246.2529588817468;2.5987593585279134;2.4763883364667625;8.476588814780733;8.047822181801099
2016;05;2711;2711;16.734567901234566;13.555;557.2937433318092;244.82697499999995;2.7233140737288983;2.455729787771266;9.465353048877834;7.683064989135463
2017;05;2639;2639;17.593333333333334;13.195;560.4412888888888;236.35697499999998;2.5904652066728104;2.5381300141765943;8.987438231515684;8.349785024366216
2018;05;2659;2659;16.936305732484076;13.295;579.9322487727698;227.877975;2.615871122947322;2.495353044229999;8.569786135898621;8.109525909447697
2019;05;2702;2702;16.782608695652176;13.577889447236181;573.3751012692411;232.36453624908458;2.635029565534348;2.599642222981554;8.74615955088925;8.91498533033831
2020;05;2538;2538;17.26530612244898;12.626865671641792;575.7731500763571;212.50256181777675;2.700032595757747;2.5268041508657997;9.253180926986955;7.913366184068865
2021;05;2670;2670;17.45098039215686;13.484848484848484;594.6266820453671;236.2295684113866;2.5310549967599902;2.558071218007968;7.676388732489505;8.320375925982741
2022;05;2576;2576;16.836601307189543;13.076142131979696;545.4700328933317;241.42059831482388;2.676776918268744;2.8879853808764295;9.106580104360464;11.300787099817782
2023;05;2460;2460;16.62162162162162;12.424242424242424;527.018991964938;207.3149678604224;2.7464852625903027;2.5844097546634766;9.950347785421256;8.73875235299844
1996;07;1703;1703;12.614814814814816;9.306010928961749;462.6071879286694;85.32712233867836;3.3290548562123847;3.39022653409225;14.010519828180836;19.688489446713998
1997;07;1871;1871;14.503875968992247;10.394444444444444;531.056186527252;92.81663580246912;3.0520501381682736;3.4970969460264008;11.359098557216472;21.063987137040776
1998;07;1960;1960;14.518518518518519;10.76923076923077;563.108916323731;99.34234995773457;2.8606688187425227;3.201460245495697;9.642491650256506;18.424100150363643
1999;07;2064;2064;14.956521739130435;11.217391304347826;592.7517328292374;101.09404536862004;2.8769980830544273;3.0517965591632703;9.618881395022713;16.01718265275925
2000;07;2359;2359;14.74375;12.035714285714286;602.8655859375;126.25892857142857;2.9387964668500692;3.4628347302922418;10.166213323575098;21.633690617850892
2001;07;2407;2407;16.046666666666667;12.471502590673575;658.0178222222222;113.9590324572472;2.73393244719104;2.6932268233932954;8.45442559494719;13.114991301647315
2002;07;2534;2534;16.67105263157895;12.797979797979798;709.4575831024931;122.34302622181411;2.6626081639266364;2.7087881711204846;7.852047733522342;14.042924891467369
2003;07;2566;2566;16.55483870967742;13.091836734693878;716.337315296566;126.51197417742604;2.7562439351378734;2.543707506303466;8.727353995561092;12.267652597794989
2004;07;2688;2688;17.568627450980394;13.507537688442211;805.0296039984622;132.8127572536047;2.779096237834506;2.7402417773603793;8.805413216652228;14.533221705685904
2005;07;2748;2748;17.844155844155843;14.238341968911918;780.2874009107776;142.56495476388628;2.728017502765519;3.245030508417105;8.724814162638367;20.499251077634224
2006;07;2855;2855;17.84375;14.419191919191919;816.5943359375;151.132358942965;2.7840852120720547;2.9584986316919903;9.028472956394742;17.01535498009416
2007;07;2299;2299;15.965277777777779;11.67005076142132;763.4640721450619;124.49519441366692;3.1976835737458504;3.0873426267583413;12.18524526353365;16.399832801972444
2008;07;2584;2584;18.457142857142856;13.05050505050505;840.3053061224489;135.9065401489644;2.7685591546102164;2.78860122864035;8.960376086647145;15.005687205990554
2009;07;2666;2666;16.873417721518987;13.742268041237113;803.4016984457618;126.25316186629824;2.945256057928389;2.4091853466273507;10.148661881163928;11.307237488570504
2010;07;2746;2746;18.30666666666667;14.010204081632653;837.1059555555555;131.58152852977926;2.693588141677419;2.379962751125125;8.365778371267162;10.815680648274077
2011;07;2786;2786;17.745222929936304;14.142131979695431;824.0879548866081;137.85797108918032;2.8315661785465243;2.4448667732644265;9.196484233821156;11.05576632291185
2012;07;2869;2869;18.751633986928105;14.563451776649746;893.441582297407;142.9667860547811;2.647253107282608;2.1522104641931565;7.813846670648632;8.296866195748839
2013;07;2888;2888;18.63225806451613;14.368159203980099;874.8905723204996;134.3221702433108;2.6531455372565107;2.0986137318372564;7.9334961365659;8.504057345223083
2014;07;2963;2963;18.067073170731707;14.964646464646465;912.8674524092803;136.7512753800633;2.7494119740328715;2.265015726111426;8.354439794285636;10.138161270033898
2015;07;2960;2960;19.22077922077922;14.8;947.9382695226851;139.33999999999997;2.6515732812092914;2.3198970227618987;7.783484087928416;10.81167013661918
2016;07;2975;2975;18.140243902439025;14.875;908.8888682331944;140.939375;2.7802043029446257;2.3644891482276793;8.625569943324068;10.382128229164394
2017;07;3056;3056;19.22012578616352;15.28;927.4546892923539;148.0716;2.7337508385874476;2.3135739935708037;8.410087732243086;10.053832427690162
2018;07;3039;3039;18.644171779141104;15.119402985074627;906.1555948661975;138.2046483997921;2.6986414836024624;2.0394438470113285;8.115417779609093;7.8070410224501305
2019;07;3038;3038;19.10691823899371;15.266331658291458;955.0011471065225;143.83359006085706;2.632561579486637;2.3738376167747277;7.523925900858005;10.667019030128536
2020;07;2855;2855;19.29054054054054;14.275;988.4763970051132;123.94937500000002;2.7086901195794972;2.3938924774776282;7.867122173820896;11.396487037230672
2021;07;2792;2792;18.490066225165563;14.030150753768844;900.4485768168064;128.4111512335547;2.759619832023046;2.354121326030913;8.47145856736343;9.628921775946086
2022;07;2796;2796;17.923076923076923;14.050251256281408;863.2248520710058;136.69094214792554;2.9516820818017035;2.715989061623292;9.857478275818718;13.23195578499449
2023;07;2812;2812;17.910828025477706;13.990049751243781;875.2786725627813;131.6814930323507;2.8948913341126166;2.609608329304087;9.575023609549286;12.63490902463147
