period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;net_wgt_exp;net_wgt_imp;exp_share;imp_share;primary_value_per_partner_exp;primary_value_per_partner_imp;net_wgt_per_partner_exp;net_wgt_per_partner_imp
1996;01;Morocco;4;11;20386.0;24658577.0;23218.0;206132037.0;0.0008260476746936246;0.9991739523253064;5096.5;2241688.8181818184;5804.5;18739276.09090909
1996;01;Mozambique;7;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Myanmar;14;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Nepal;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Netherlands Antilles (...2010);1;4;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;New Caledonia;1;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;New Zealand;15;10;448879731.0;738496.0;3856909035.0;1114224.0;0.9983575043099843;0.0016424956900156986;29925315.4;73849.6;257127269.0;111422.4
1996;01;Nicaragua;4;1;8058.0;0.0;23375.0;0.0;1.0;0.0;2014.5;0.0;5843.75;0.0
1996;01;Niger;0;3;0.0;80520.0;0.0;153901.0;0.0;1.0;;26840.0;;51300.333333333336
1996;01;Nigeria;8;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Norfolk Isds;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;North Macedonia;2;5;359514.0;234694.0;2629822.0;1545645.0;0.6050305616888362;0.39496943831116377;179757.0;46938.8;1314911.0;309129.0
1996;01;Norway;5;10;21534549.0;159595417.0;279243187.0;1913712871.0;0.11889004053586583;0.8811099594641342;4306909.8;15959541.7;55848637.4;191371287.1
1996;01;Oman;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Pakistan;0;3;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Palau;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Panama;4;5;37149.0;1410240.0;1329687.0;3695440.0;0.025666216891243473;0.9743337831087565;9287.25;282048.0;332421.75;739088.0
1996;01;Papua New Guinea;11;2;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Paraguay;5;1;222689.0;0.0;3163179.0;0.0;1.0;0.0;44537.8;0.0;632635.8;0.0
1996;01;Peru;4;4;0.0;154531.0;0.0;784702.0;0.0;1.0;0.0;38632.75;0.0;196175.5
1996;01;Philippines;5;21;0.0;113442869.0;0.0;680728128.0;0.0;1.0;0.0;5402041.380952381;0.0;32415625.14285714
1996;01;Qatar;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Rep. of Korea;7;28;146689.0;952150530.0;115765.0;7153056337.0;0.00015403699294012116;0.9998459630070599;20955.571428571428;34005376.071428575;16537.85714285714;255466297.75
1996;01;Rep. of Moldova;2;3;13561.0;1316442.0;94375.0;16137850.0;0.010196217602516686;0.9898037823974833;6780.5;438814.0;47187.5;5379283.333333333
1996;01;Russian Federation;28;5;943867704.0;9410018.0;12856483469.0;367542447.0;0.9901287759245464;0.009871224075453638;33709560.85714286;1882003.6;459160123.89285713;73508489.4
1996;01;Rwanda;0;1;0.0;2000.0;0.0;20000.0;0.0;1.0;;2000.0;;20000.0
1996;01;Saint Kitts and Nevis;0;1;0.0;17836.0;0.0;14437.0;0.0;1.0;;17836.0;;14437.0
1996;01;Saint Lucia;0;2;0.0;10444.0;0.0;29034.0;0.0;1.0;;5222.0;;14517.0
1996;01;Saint Pierre and Miquelon;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Saint Vincent and the Grenadines;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Samoa;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Saudi Arabia;8;9;186554.0;2255022.0;649489.0;3031452.0;0.076407205837541;0.923592794162459;23319.25;250558.0;81186.125;336828.0
1996;01;Senegal;3;5;0.0;4530326.0;0.0;12861527.0;0.0;1.0;0.0;906065.2;0.0;2572305.4
1996;01;Serbia and Montenegro (...2005);3;7;2794000.0;11632000.0;12546000.0;123654222.0;0.1936780812422016;0.8063219187577985;931333.3333333334;1661714.2857142857;4182000.0;17664888.85714286
