period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2013;01;primary_value;9993361498.577;15787918309.881;0.13849754906213868;0.374432379001597;2.383315158995191;1.5729664135034451
2014;01;primary_value;10293328011.727;18345502108.068;0.13559678190776572;0.4321806441341199;2.431517603327503;1.4324346589696768
2015;01;primary_value;7980798363.675;13475735551.992;0.1326461037850023;0.3787774597587893;2.4979882373594178;1.5781788655551021
2016;01;primary_value;8280712461.295;9974619129.976;0.1379662773100528;0.28595246141112085;2.4297727841398373;1.8129827941173748
2017;01;primary_value;7650660861.443999;14249523086.628;0.14273541570332018;0.4950634798607261;2.4647486998136574;1.255920707246299
2018;01;primary_value;8208852395.363;14835761195.034;0.14712315285699074;0.5542149889153918;2.4137421934487473;1.1618841887975981
2019;01;primary_value;9093900091.307;13277130400.458;0.13208901750942434;0.5118073606112357;2.4627883952559317;1.2801177525445326
2020;01;primary_value;8301539919.157;11544064662.015;0.13732751820783906;0.5372980897555277;2.3992795787050225;1.2070807485856465
2021;01;primary_value;10536654711.797;15672203680.06;0.1533198803629267;0.5547230100759595;2.3402835611396386;1.160098171516937
2022;01;primary_value;8405999122.53;13108529682.672;0.16754755645560665;0.44011148153918594;2.2784174606691234;1.4428714114058498
2023;01;primary_value;6681763258.845;9899739844.876;0.17308739476492943;0.43402095444331046;2.271543759673058;1.44506653834821
1996;05;primary_value;16837931249.0;19009360774.0;0.33181570456895065;0.22940979987224863;1.7417154828706667;2.013636725987529
1997;05;primary_value;17943034732.0;20376790364.0;0.3097732300017259;0.22571795907531425;1.8206031199104395;2.0538928441628825
1998;05;primary_value;15245084733.0;17039187473.0;0.30328424432289236;0.23494553131531218;1.8628411303804477;2.103206963458441
1999;05;primary_value;16971937756.0;19388577172.0;0.30995769111384114;0.236251431401544;1.8463320877427114;2.091325991601693
2000;05;primary_value;17232199761.404;19466848763.93;0.26606415098403197;0.19857182302709023;1.9846956242241045;2.23874935195712
2001;05;primary_value;15817231175.008;18173722780.139;0.26329063594981267;0.19923310904146546;2.0296754884602493;2.3045030751336113
2002;05;primary_value;15946810017.189;18775281538.503;0.23550140115423635;0.19452460070771202;2.1093013150703492;2.3440647117792044
2003;05;primary_value;16342919204.715;19316433863.674;0.204191996819939;0.17493107275576367;2.2230728705044465;2.410483603469896
2004;05;primary_value;20799855996.245;24066875403.023;0.22775329448679607;0.20359169920492182;2.1473492167587658;2.3302008195452455
2005;05;primary_value;21843298879.765;24940021249.7;0.2064257620488226;0.19958797445514576;2.2190186891668917;2.3866303230601336
2006;05;primary_value;22652343688.089;24884917838.219;0.18513700384129375;0.183840565689683;2.2896433348027294;2.4492222013418723
2007;05;primary_value;23215916505.576;25700673993.613;0.15952444197917298;0.14410455839834208;2.3771811388460757;2.664483661745829
2008;05;primary_value;20110353155.905;22643304862.911;0.14298203806227322;0.11108614431184648;2.479862166866815;2.892479642363033
2009;05;primary_value;15774617074.131;16805194821.088;0.14582868404040775;0.09757614447243726;2.4369419282026437;2.948262908464768
2010;05;primary_value;20123089676.55;21463372040.709;0.14884485831859903;0.1019406962610486;2.4266388509952592;2.9071101121954976
